"font family","style","genre","subgenre","monospace","cap","ch","em","ex","ic","lh","foundry","designers","added","updated"
"ABeeZee","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Anja Meiners","2012-09-30","2019-07-17"
"ABeeZee","regular italic","sans-serif","","false","784","400","800","353.515625","784","784","","Anja Meiners","2012-09-30","2019-07-17"
"Abel","regular","sans-serif","","false","784","400","800","357.8125","784","784","MADType","MADType","2011-08-03","2019-07-17"
"Abhaya Libre","regular","serif","","false","784","400","800","357.8125","784","784","","Mooniak","2016-08-30","2019-07-16"
"Abhaya Libre","medium","serif","","false","784","400","800","357.8125","784","784","","Mooniak","2016-08-30","2019-07-16"
"Abhaya Libre","semi-bold","serif","","false","784","400","800","365.234375","784","784","","Mooniak","2016-08-30","2019-07-16"
"Abhaya Libre","bold","serif","","false","784","400","800","365.234375","784","784","","Mooniak","2016-08-30","2019-07-16"
"Abhaya Libre","extra-bold","serif","","false","784","400","800","365.234375","784","784","","Mooniak","2016-08-30","2019-07-16"
"Abril Fatface","regular","serif","didone","false","784","400","800","357.8125","784","784","TypeTogether","TypeTogether","2011-08-31","2019-07-17"
"Aclonica","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Astigmatic","2011-04-27","2019-07-16"
"Acme","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Actor","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Thomas Junold","2011-08-03","2019-07-16"
"Adamina","regular","serif","","false","784","400","800","357.8125","784","784","","Cyreal","2011-09-07","2019-07-16"
"Advent Pro","thin","sans-serif","","false","784","400","800","357.8125","784","784","","Andreas Kalpakidis","2012-02-29","2019-07-16"
"Advent Pro","extra-light","sans-serif","","false","784","400","800","357.8125","784","784","","Andreas Kalpakidis","2012-02-29","2019-07-16"
"Advent Pro","light","sans-serif","","false","784","400","800","357.8125","784","784","","Andreas Kalpakidis","2012-02-29","2019-07-16"
"Advent Pro","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Andreas Kalpakidis","2012-02-29","2019-07-16"
"Advent Pro","medium","sans-serif","","false","784","400","800","357.8125","784","784","","Andreas Kalpakidis","2012-02-29","2019-07-16"
"Advent Pro","semi-bold","sans-serif","","false","784","400","800","365.234375","784","784","","Andreas Kalpakidis","2012-02-29","2019-07-16"
"Advent Pro","bold","sans-serif","","false","784","400","800","365.234375","784","784","","Andreas Kalpakidis","2012-02-29","2019-07-16"
"Aguafina Script","regular","calligraphic","","false","784","400","800","357.8125","784","784","","Sudtipos","2011-11-30","2019-07-16"
"Akronim","regular","display","","false","784","400","800","357.8125","784","784","","Grzegorz Klimczewski","2012-09-23","2019-07-16"
"Aladin","regular","calligraphic","","false","784","400","800","357.8125","784","784","","Sudtipos","2011-11-30","2019-07-16"
"Aldrich","regular","sans-serif","","false","784","400","800","357.8125","784","784","","MADType","2011-08-17","2019-07-16"
"Alef","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Hagilda, Mushon Zer-Aviv","2013-05-21","2019-07-16"
"Alef","bold","sans-serif","","false","784","400","800","365.234375","784","784","","Hagilda, Mushon Zer-Aviv","2013-05-21","2019-07-16"
"Alegreya","regular","serif","","false","784","400","800","357.8125","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","medium","serif","","false","784","400","800","357.8125","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","bold","serif","","false","784","400","800","365.234375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","extra-bold","serif","","false","784","400","800","365.234375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","black","serif","","false","784","400","800","365.234375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","regular italic","serif","","false","784","400","800","353.515625","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","medium italic","serif","","false","784","400","800","353.515625","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","bold italic","serif","","false","784","400","800","362.109375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","extra-bold italic","serif","","false","784","400","800","362.109375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya","black italic","serif","","false","784","400","800","362.109375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-17"
"Alegreya SC","regular","serif","","false","784","400","800","357.8125","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","medium","serif","","false","784","400","800","357.8125","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","bold","serif","","false","784","400","800","365.234375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","extra-bold","serif","","false","784","400","800","365.234375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","black","serif","","false","784","400","800","365.234375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","regular italic","serif","","false","784","400","800","353.515625","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","medium italic","serif","","false","784","400","800","353.515625","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","bold italic","serif","","false","784","400","800","362.109375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","extra-bold italic","serif","","false","784","400","800","362.109375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya SC","black italic","serif","","false","784","400","800","362.109375","784","784","","Huerta Tipográfica","2011-12-19","2019-07-16"
"Alegreya Sans","thin","sans-serif","","false","784","400","800","357.8125","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","light","sans-serif","","false","784","400","800","357.8125","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","regular","sans-serif","","false","784","400","800","357.8125","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","medium","sans-serif","","false","784","400","800","357.8125","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","bold","sans-serif","","false","784","400","800","365.234375","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","extra-bold","sans-serif","","false","784","400","800","365.234375","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","black","sans-serif","","false","784","400","800","365.234375","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","thin italic","sans-serif","","false","784","400","800","353.515625","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","light italic","sans-serif","","false","784","400","800","353.515625","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","regular italic","sans-serif","","false","784","400","800","353.515625","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","medium italic","sans-serif","","false","784","400","800","353.515625","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","bold italic","sans-serif","","false","784","400","800","362.109375","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","extra-bold italic","sans-serif","","false","784","400","800","362.109375","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans","black italic","sans-serif","","false","784","400","800","362.109375","784","784","Google Design","Juan Pablo del Peral","2013-12-04","2019-07-17"
"Alegreya Sans SC","thin","sans-serif","","false","784","400","800","357.8125","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","light","sans-serif","","false","784","400","800","357.8125","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","medium","sans-serif","","false","784","400","800","357.8125","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","bold","sans-serif","","false","784","400","800","365.234375","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","extra-bold","sans-serif","","false","784","400","800","365.234375","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","black","sans-serif","","false","784","400","800","365.234375","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","thin italic","sans-serif","","false","784","400","800","353.515625","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","light italic","sans-serif","","false","784","400","800","353.515625","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","regular italic","sans-serif","","false","784","400","800","353.515625","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","medium italic","sans-serif","","false","784","400","800","353.515625","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","bold italic","sans-serif","","false","784","400","800","362.109375","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","extra-bold italic","sans-serif","","false","784","400","800","362.109375","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Alegreya Sans SC","black italic","sans-serif","","false","784","400","800","362.109375","784","784","","Juan Pablo del Peral","2013-12-04","2019-07-16"
"Aleo","light","serif","","false","784","400","800","357.8125","784","784","","Alessio Laiso, Kevin Conroy","2018-12-11","2019-07-16"
"Aleo","regular","serif","","false","784","400","800","357.8125","784","784","","Alessio Laiso, Kevin Conroy","2018-12-11","2019-07-16"
"Aleo","bold","serif","","false","784","400","800","365.234375","784","784","","Alessio Laiso, Kevin Conroy","2018-12-11","2019-07-16"
"Aleo","light italic","serif","","false","784","400","800","353.515625","784","784","","Alessio Laiso, Kevin Conroy","2018-12-11","2019-07-16"
"Aleo","regular italic","serif","","false","784","400","800","353.515625","784","784","","Alessio Laiso, Kevin Conroy","2018-12-11","2019-07-16"
